8000,DSL Rare Talisman of Emboldening,0,0,[0|0|0],8030930,-1,0.3,0,0,100,400000,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,1,[0|0],0,9000,0,-1,0,0,0,0,[0|0|0|0]
8001,DSL Rare Furious Talisman of Restoration,0,0,[0|0|0],8030970,-1,0.3,0,0,100,400001,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,1,[0|0],0,9001,0,-1,8030980,0,0,0,[0|0|0|0]
8002,DSL Treasured Talisman of Restoration,0,0,[0|0|0],8031010,-1,0.3,0,0,100,400002,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,2,[0|0],0,9002,0,-1,0,0,0,0,[0|0|0|0]
8003,DSL Rare Furious Talisman of Fury,0,0,[0|0|0],8031060,-1,0.3,0,0,100,400003,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,1,[0|0],0,9003,0,-1,8031070,0,0,0,[0|0|0|0]
8004,DSL Treasured Talisman of Fury,0,0,[0|0|0],8031100,-1,0.3,0,0,100,400004,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,2,[0|0],0,9004,0,-1,0,0,0,0,[0|0|0|0]
8005,DSL Treasured Talisman of Fury,0,0,[0|0|0],8031140,-1,0.3,0,0,100,400005,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,2,[0|0],0,9005,0,-1,0,0,0,0,[0|0|0|0]
8006,DSL Rare Talisman of Restoration,0,0,[0|0|0],8031190,-1,0.3,0,0,100,400006,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,1,[0|0],0,9006,0,-1,0,0,0,0,[0|0|0|0]
8007,DSL Rare Talisman of Fury,0,0,[0|0|0],8031230,-1,0.3,0,0,100,400007,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,1,[0|0],0,9007,0,-1,0,0,0,0,[0|0|0|0]
8008,DSL Treasured Talisman of Fury,0,0,[0|0|0],8031270,-1,0.3,0,0,100,400008,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,2,[0|0],0,9008,0,-1,0,0,0,0,[0|0|0|0]
8009,DSL Rare Talisman of Restoration,0,0,[0|0|0],8031310,-1,0.3,0,0,100,400009,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,1,[0|0],0,9009,0,-1,0,0,0,0,[0|0|0|0]
8010,DSL Rare Talisman of Restoration,0,0,[0|0|0],8031350,-1,0.3,0,0,100,400010,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,1,[0|0],0,9010,0,-1,0,0,0,0,[0|0|0|0]
8011,DSL Rare Talisman of Fury,0,0,[0|0|0],8031390,-1,0.3,0,0,100,400011,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,1,[0|0],0,9011,0,-1,0,0,0,0,[0|0|0|0]
8012,DSL Rare Talisman of Emboldening,0,0,[0|0|0],8031430,-1,0.3,0,0,100,400012,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,1,[0|0],0,9012,0,-1,0,0,0,0,[0|0|0|0]
8013,DSL Rare Talisman of Restoration,0,0,[0|0|0],8031470,-1,0.3,0,0,100,400013,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,1,[0|0],0,9013,0,-1,0,0,0,0,[0|0|0|0]
8014,DSL Rare Emboldened Talisman of Emboldening,0,0,[0|0|0],8031510,-1,0.3,0,0,100,400014,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,1,[0|0],0,9014,0,-1,0,8031530,0,0,[0|0|0|0]
8015,DSL Rare Talisman of Fury,0,0,[0|0|0],8031560,-1,0.3,0,0,100,400015,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,1,[0|0],0,9015,0,-1,0,0,0,0,[0|0|0|0]
8016,DSL Treasured Talisman of Restoration,0,0,[0|0|0],8031600,-1,0.3,0,0,100,400016,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,2,[0|0],0,9016,0,-1,0,0,0,0,[0|0|0|0]
8017,DSL Treasured Talisman of Fury,0,0,[0|0|0],8031640,-1,0.3,0,0,100,400017,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,2,[0|0],0,9017,0,-1,0,0,0,0,[0|0|0|0]
8018,DSL Rare Talisman of Emboldening,0,0,[0|0|0],8031770,-1,0.3,0,0,100,400018,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,1,[0|0],0,9018,0,-1,0,0,0,0,[0|0|0|0]
8019,DSL Rare Furious Talisman of Emboldening,0,0,[0|0|0],8031810,-1,0.3,0,0,100,400019,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,1,[0|0],0,9019,0,-1,8031820,0,0,0,[0|0|0|0]
8020,DSL Rare Talisman of Emboldening,0,0,[0|0|0],8031850,-1,0.3,0,0,100,400020,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,1,[0|0],0,9020,0,-1,0,0,0,0,[0|0|0|0]
8021,DSL Rare Talisman of Fury,0,0,[0|0|0],8031910,-1,0.3,0,0,100,400021,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,1,[0|0],0,9021,0,-1,0,0,0,0,[0|0|0|0]
8022,DSL Treasured Talisman of Fury,0,0,[0|0|0],8031950,-1,0.3,0,0,100,400022,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,2,[0|0],0,9022,0,-1,0,0,0,0,[0|0|0|0]
8023,DSL Rare Talisman of Restoration,0,0,[0|0|0],8031990,-1,0.3,0,0,100,400023,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,1,[0|0],0,9023,0,-1,0,0,0,0,[0|0|0|0]
8024,DSL Treasured Talisman of Restoration,0,0,[0|0|0],8032030,-1,0.3,0,0,100,400024,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,2,[0|0],0,9024,0,-1,0,0,0,0,[0|0|0|0]
8025,DSL Treasured Talisman of Emboldening,0,0,[0|0|0],8032070,-1,0.3,0,0,100,400025,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,2,[0|0],0,9025,0,-1,0,0,0,0,[0|0|0|0]
8026,DSL Rare Restorative Talisman of Emboldening,0,0,[0|0|0],8032110,-1,0.3,0,0,100,400026,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,1,[0|0],0,9026,0,-1,0,8032130,0,0,[0|0|0|0]
8027,DSL Rare Talisman of Fury,0,0,[0|0|0],8032200,-1,0.3,0,0,100,400027,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,1,[0|0],0,9027,0,-1,0,0,0,0,[0|0|0|0]
8028,DSL Rare Talisman of Emboldening,0,0,[0|0|0],8032240,-1,0.3,0,0,100,400028,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,1,[0|0],0,9028,0,-1,0,0,0,0,[0|0|0|0]
8029,DSL Rare Talisman of Emboldening,0,0,[0|0|0],8032280,-1,0.3,0,0,100,400029,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,1,[0|0],0,9029,0,-1,0,0,0,0,[0|0|0|0]
8030,DSL Treasured Talisman of Fury,0,0,[0|0|0],8032330,-1,0.3,0,0,100,400030,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,2,[0|0],0,9030,0,-1,0,0,0,0,[0|0|0|0]
8031,DSL Rare Talisman of Emboldening,0,0,[0|0|0],8032370,-1,0.3,0,0,100,400031,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,1,[0|0],0,9031,0,-1,0,0,0,0,[0|0|0|0]
8032,DSL Rare Talisman of Restoration,0,0,[0|0|0],8032410,-1,0.3,0,0,100,400032,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,1,[0|0],0,9032,0,-1,0,0,0,0,[0|0|0|0]
8033,DSL Rare Talisman of Fury,0,0,[0|0|0],8032450,-1,0.3,0,0,100,400033,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,1,[0|0],0,9033,0,-1,0,0,0,0,[0|0|0|0]
8034,DSL Treasured Talisman of Restoration,0,0,[0|0|0],8032490,-1,0.3,0,0,100,400034,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,2,[0|0],0,9034,0,-1,0,0,0,0,[0|0|0|0]
8035,DSL Treasured Talisman of Emboldening,0,0,[0|0|0],8032530,-1,0.3,0,0,100,400035,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,2,[0|0],0,9035,0,-1,0,0,0,0,[0|0|0|0]
8036,DSL Treasured Talisman of Emboldening,0,0,[0|0|0],8032580,-1,0.3,0,0,100,400036,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,2,[0|0],0,9036,0,-1,0,0,0,0,[0|0|0|0]
8037,DSL Rare Talisman of Restoration,0,0,[0|0|0],8032620,-1,0.3,0,0,100,400037,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,1,[0|0],0,9037,0,-1,0,0,0,0,[0|0|0|0]
8038,DSL Rare Restorative Talisman of Restoration,0,0,[0|0|0],8032660,-1,0.3,0,0,100,400038,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,1,[0|0],0,9038,0,-1,8032670,0,0,0,[0|0|0|0]
8039,DSL Rare Talisman of Restoration,0,0,[0|0|0],8032710,-1,0.3,0,0,100,400039,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,1,[0|0],0,9039,0,-1,0,0,0,0,[0|0|0|0]
8040,DSL Rare Talisman of Fury,0,0,[0|0|0],8032750,-1,0.3,0,0,100,400040,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,1,[0|0],0,9040,0,-1,0,0,0,0,[0|0|0|0]
8041,DSL Rare Fury Talisman of Emboldening,0,0,[0|0|0],8032790,-1,0.3,0,0,100,400041,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,1,[0|0],0,9041,0,-1,0,8032810,0,0,[0|0|0|0]
8042,DSL Treasured Restorative Talisman of Emboldening,0,0,[0|0|0],8033030,-1,0.3,0,0,100,400042,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,2,[0|0],0,9042,0,-1,8033040,0,0,0,[0|0|0|0]
8043,DSL Treasured Talisman of Fury,0,0,[0|0|0],8033070,-1,0.3,0,0,100,400043,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,2,[0|0],0,9043,0,-1,0,0,0,0,[0|0|0|0]
8044,DSL Rare Talisman of Emboldening,0,0,[0|0|0],8033110,-1,0.3,0,0,100,400044,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,1,[0|0],0,9044,0,-1,0,0,0,0,[0|0|0|0]
8045,DSL Treasured Talisman of Emboldening,0,0,[0|0|0],8033210,-1,0.3,0,0,100,400045,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,2,[0|0],0,9045,0,-1,0,0,0,0,[0|0|0|0]
8046,DSL Treasured Talisman of Restoration,0,0,[0|0|0],8033250,-1,0.3,0,0,100,400046,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,2,[0|0],0,9046,0,-1,0,0,0,0,[0|0|0|0]
8047,DSL Rare Talisman of Fury,0,0,[0|0|0],8033290,-1,0.3,0,0,100,400047,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,1,[0|0],0,9047,0,-1,0,0,0,0,[0|0|0|0]
8048,DSL Rare Emboldened Talisman of Emboldening,0,0,[0|0|0],8033350,-1,0.3,0,0,100,400048,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,1,[0|0],0,9048,0,-1,0,8033370,0,0,[0|0|0|0]
8049,DSL Rare Talisman of Emboldening,0,0,[0|0|0],8033390,-1,0.3,0,0,100,400049,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,1,[0|0],0,9049,0,-1,0,0,0,0,[0|0|0|0]
8050,DSL Treasured Talisman of Fury,0,0,[0|0|0],8033430,-1,0.3,0,0,100,400050,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,2,[0|0],0,9050,0,-1,0,0,0,0,[0|0|0|0]
8051,DSL Treasured Talisman of Fury,0,0,[0|0|0],8033480,-1,0.3,0,0,100,400051,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,2,[0|0],0,9051,0,-1,0,0,0,0,[0|0|0|0]
8052,DSL Rare Talisman of Restoration,0,0,[0|0|0],8033520,-1,0.3,0,0,100,400052,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,1,[0|0],0,9052,0,-1,0,0,0,0,[0|0|0|0]
8053,DSL Rare Emboldened Talisman of Fury,0,0,[0|0|0],8033560,-1,0.3,0,0,100,400053,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,1,[0|0],0,9053,0,-1,0,8033580,0,0,[0|0|0|0]
8054,DSL Treasured Talisman of Restoration,0,0,[0|0|0],8033660,-1,0.3,0,0,100,400054,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,2,[0|0],0,9054,0,-1,0,0,0,0,[0|0|0|0]
8055,DSL Treasured Talisman of Emboldening,0,0,[0|0|0],8033700,-1,0.3,0,0,100,400055,0,0,18000,-1,-1,-1,0,0,0,2,0,10,-1,-1,-1,1,0,0,1,1,1,2,2,[0|0],0,9055,0,-1,0,0,0,0,[0|0|0|0]
